id,content_type_id,codename,name
1,1,add_logentry,Can add log entry
2,1,change_logentry,Can change log entry
3,1,delete_logentry,Can delete log entry
4,1,view_logentry,Can view log entry
5,2,add_permission,Can add permission
6,2,change_permission,Can change permission
7,2,delete_permission,Can delete permission
8,2,view_permission,Can view permission
9,3,add_group,Can add group
10,3,change_group,Can change group
11,3,delete_group,Can delete group
12,3,view_group,Can view group
13,4,add_user,Can add user
14,4,change_user,Can change user
15,4,delete_user,Can delete user
16,4,view_user,Can view user
17,5,add_contenttype,Can add content type
18,5,change_contenttype,Can change content type
19,5,delete_contenttype,Can delete content type
20,5,view_contenttype,Can view content type
21,6,add_session,Can add session
22,6,change_session,Can change session
23,6,delete_session,Can delete session
24,6,view_session,Can view session
25,7,add_categoria,Can add Categoria
26,7,change_categoria,Can change Categoria
27,7,delete_categoria,Can delete Categoria
28,7,view_categoria,Can view Categoria
29,8,add_cliente,Can add Cliente
30,8,change_cliente,Can change Cliente
31,8,delete_cliente,Can delete Cliente
32,8,view_cliente,Can view Cliente
33,9,add_cronograma,Can add Cronograma
34,9,change_cronograma,Can change Cronograma
35,9,delete_cronograma,Can delete Cronograma
36,9,view_cronograma,Can view Cronograma
37,10,add_deposito,Can add Depósito
38,10,change_deposito,Can change Depósito
39,10,delete_deposito,Can delete Depósito
40,10,view_deposito,Can view Depósito
41,11,add_empreiteira,Can add Empreiteira
42,11,change_empreiteira,Can change Empreiteira
43,11,delete_empreiteira,Can delete Empreiteira
44,11,view_empreiteira,Can view Empreiteira
45,12,add_funcionario_da_obra,Can add Funcionário da Obra
46,12,change_funcionario_da_obra,Can change Funcionário da Obra
47,12,delete_funcionario_da_obra,Can delete Funcionário da Obra
48,12,view_funcionario_da_obra,Can view Funcionário da Obra
49,13,add_mao_de_obra,Can add Mão de Obra
50,13,change_mao_de_obra,Can change Mão de Obra
51,13,delete_mao_de_obra,Can delete Mão de Obra
52,13,view_mao_de_obra,Can view Mão de Obra
53,14,add_material,Can add Material
54,14,change_material,Can change Material
55,14,delete_material,Can delete Material
56,14,view_material,Can view Material
57,15,add_orgao,Can add Órgão
58,15,change_orgao,Can change Órgão
59,15,delete_orgao,Can delete Órgão
60,15,view_orgao,Can view Órgão
61,16,add_taxa,Can add Taxa
62,16,change_taxa,Can change Taxa
63,16,delete_taxa,Can delete Taxa
64,16,view_taxa,Can view Taxa
65,17,add_tarefa,Can add Tarefa
66,17,change_tarefa,Can change Tarefa
67,17,delete_tarefa,Can delete Tarefa
68,17,view_tarefa,Can view Tarefa
69,18,add_funcionario,Can add Funcionario
70,18,change_funcionario,Can change Funcionario
71,18,delete_funcionario,Can delete Funcionario
72,18,view_funcionario,Can view Funcionario
73,19,add_comentario,Can add Comentário
74,19,change_comentario,Can change Comentário
75,19,delete_comentario,Can delete Comentário
76,19,view_comentario,Can view Comentário
