id,app_label,model
1,admin,logentry
2,auth,permission
3,auth,group
4,auth,user
5,contenttypes,contenttype
6,sessions,session
7,confidencechronograms,categoria
8,confidencechronograms,cliente
9,confidencechronograms,cronograma
10,confidencechronograms,deposito
11,confidencechronograms,empreiteira
12,confidencechronograms,funcionario_da_obra
13,confidencechronograms,mao_de_obra
14,confidencechronograms,material
15,confidencechronograms,orgao
16,confidencechronograms,taxa
17,confidencechronograms,tarefa
18,confidencechronograms,funcionario
19,confidencechronograms,comentario
